time,bid_price,ask_price,bid_size,ask_size,seq_num
2019-09-16 22:10:16.494563 UTC,0.27,0.275,3944800,3777600,1568671807407775468
2019-09-17 00:30:00.110200 UTC,0.275,0.275,4000000,3777600,1568671807407775470
2019-09-17 00:30:00.112431 UTC,0.275,0.275,4000000,7777600,1568671807407775471
2019-09-17 00:30:00.124114 UTC,0.275,0.275,4080000,7777600,1568671807407775472
2019-09-17 00:30:00.128527 UTC,0.275,0.275,4160000,7777600,1568671807407775474
2019-09-17 00:30:00.130285 UTC,0.275,0.275,4240000,7777600,1568671807407775476
2019-09-17 00:30:00.132800 UTC,0.275,0.275,4320000,7777600,1568671807407775478
2019-09-17 00:30:00.163869 UTC,0.275,0.275,4320000,7821300,1568671807407775483
2019-09-17 00:30:00.199296 UTC,0.275,0.275,4320200,7821300,1568671807407775485
2019-09-17 00:30:00.199930 UTC,0.275,0.275,4320200,7913400,1568671807407775487
2019-09-17 00:30:00.200325 UTC,0.275,0.275,4320200,7939600,1568671807407775488
2019-09-17 00:30:00.201954 UTC,0.275,0.275,4320200,7940800,1568671807407775489
2019-09-17 00:30:00.203313 UTC,0.275,0.275,4320200,7983300,1568671807407775490
2019-09-17 00:30:00.569631 UTC,0.275,0.275,4338900,7983300,1568671807407775496
2019-09-17 00:30:01.024020 UTC,0.275,0.275,4258900,7983300,1568671807407775501
2019-09-17 00:30:01.024170 UTC,0.275,0.275,4178900,7983300,1568671807407775502
2019-09-17 00:30:01.024249 UTC,0.275,0.275,4098900,7983300,1568671807407775503
2019-09-17 00:30:01.143419 UTC,0.275,0.275,4099300,7983300,1568671807407775507
2019-09-17 00:30:01.215060 UTC,0.275,0.275,4099300,8083300,1568671807407775510
2019-09-17 00:30:01.324225 UTC,0.27,0.27,8254300,4187400,1568671807407775532
2019-09-17 00:30:01.490002 UTC,0.27,0.27,8264300,4187400,1568671807407775535
2019-09-17 00:30:03.260759 UTC,0.27,0.27,8265800,4187400,1568671807407775547
2019-09-17 00:30:03.422669 UTC,0.27,0.27,8266800,4187400,1568671807407775551
2019-09-17 00:30:08.302795 UTC,0.27,0.27,8266800,4213600,1568671807407775578
2019-09-17 00:30:08.647673 UTC,0.27,0.27,8460800,4213600,1568671807407775582
2019-09-17 00:30:09.742141 UTC,0.27,0.27,8480800,4213600,1568671807407775588
2019-09-17 00:30:10.739295 UTC,0.27,0.27,8495800,4213600,1568671807407775590
2019-09-17 00:30:30.081239 UTC,0.27,0.27,8496300,4213600,1568671807407775610
2019-09-17 00:30:30.125360 UTC,0.27,0.27,8520900,4213600,1568671807407775611
2019-09-17 00:30:30.990833 UTC,0.275,0.275,4265900,8353900,1568671807407775641
2019-09-17 00:30:31.191877 UTC,0.27,0.27,8588600,4213600,1568671807407775674
2019-09-17 00:30:44.182379 UTC,0.27,0.27,8601600,4213600,1568671807407775678
2019-09-17 00:32:00.108892 UTC,0.27,0.27,8601600,4730000,1568671807407775684
2019-09-17 00:33:24.480888 UTC,0.27,0.27,8602300,4730000,1568671807407775685
2019-09-17 00:34:00.097320 UTC,0.27,0.27,8602300,4764500,1568671807407775686
2019-09-17 00:34:05.143213 UTC,0.27,0.27,8630900,4764500,1568671807407775687
2019-09-17 00:34:05.660583 UTC,0.27,0.27,8660900,4764500,1568671807407775688
2019-09-17 00:36:00.097995 UTC,0.27,0.27,8660900,4766800,1568671807407775689
2019-09-17 00:37:31.388348 UTC,0.27,0.27,8632300,4766800,1568671807407775690
2019-09-17 00:38:00.098736 UTC,0.27,0.27,8632300,4766900,1568671807407775691
2019-09-17 00:42:40.760881 UTC,0.27,0.27,8672300,4766900,1568671807407775722
2019-09-17 00:46:58.821150 UTC,0.27,0.27,8672300,4770300,1568671807407775725
2019-09-17 00:46:58.839648 UTC,0.27,0.27,8672300,4770800,1568671807407775726
2019-09-17 00:47:35.620826 UTC,0.27,0.27,8669800,4770800,1568671807407775727
2019-09-17 00:47:35.621912 UTC,0.27,0.27,8667300,4770800,1568671807407775728
2019-09-17 00:47:35.623014 UTC,0.27,0.27,8664800,4770800,1568671807407775729
2019-09-17 00:47:35.624143 UTC,0.27,0.27,8662300,4770800,1568671807407775730
2019-09-17 00:50:00.862244 UTC,0.27,0.27,8662300,4777100,1568671807407775733
2019-09-17 00:50:16.278955 UTC,0.27,0.27,8662300,4805500,1568671807407775734
2019-09-17 00:50:58.841603 UTC,0.27,0.27,8662300,4810100,1568671807407775735
2019-09-17 00:52:10.154769 UTC,0.27,0.27,8662400,4810100,1568671807407775736
2019-09-17 00:52:58.842546 UTC,0.27,0.27,8662400,4810400,1568671807407775738
2019-09-17 00:54:58.842974 UTC,0.27,0.27,8662400,4810500,1568671807407775739
2019-09-17 00:55:50.068178 UTC,0.27,0.27,8662400,4810800,1568671807407775747
2019-09-17 00:56:30.035667 UTC,0.27,0.27,8662400,4810500,1568671807407775748
2019-09-17 00:56:48.370023 UTC,0.27,0.27,8662400,4840500,1568671807407775749
2019-09-17 00:56:50.064605 UTC,0.27,0.27,8751200,4840500,1568671807407775750
2019-09-17 00:56:58.843485 UTC,0.27,0.27,8751200,4844500,1568671807407775752
2019-09-17 00:57:00.019582 UTC,0.27,0.27,8751200,4844700,1568671807407775753
2019-09-17 00:57:25.247678 UTC,0.27,0.27,8751200,4845000,1568671807407775756
2019-09-17 00:57:25.339897 UTC,0.27,0.27,8751200,4845100,1568671807407775757
2019-09-17 00:57:51.793169 UTC,0.27,0.27,8751300,4845100,1568671807407775761
2019-09-17 00:57:54.179030 UTC,0.27,0.27,8801300,4845100,1568671807407775763
2019-09-17 00:57:57.532109 UTC,0.27,0.27,8907700,4845100,1568671807407775766
2019-09-17 00:57:58.426333 UTC,0.27,0.27,8907700,4972000,1568671807407775767
2019-09-17 00:57:58.897139 UTC,0.27,0.27,8927200,4972000,1568671807407775768
2019-09-17 00:57:58.897616 UTC,0.27,0.27,8972600,4972000,1568671807407775769
2019-09-17 00:57:58.975955 UTC,0.27,0.27,8992100,4972000,1568671807407775770
2019-09-17 00:57:59.898320 UTC,0.275,0.275,4468600,5632800,1568671807407775849
2019-09-17 00:57:59.900649 UTC,0.275,0.275,4468600,5630900,1568671807407775850
2019-09-17 00:57:59.916227 UTC,0.275,0.275,4388600,5630900,1568671807407775852
2019-09-17 00:57:59.916298 UTC,0.275,0.275,4320900,5630900,1568671807407775853
2019-09-17 00:57:59.928360 UTC,0.275,0.275,4320900,5130900,1568671807407775856
2019-09-17 00:57:59.929104 UTC,0.275,0.275,4320900,4171500,1568671807407775857
2019-09-17 00:57:59.929232 UTC,0.275,0.275,4320900,4121500,1568671807407775858
2019-09-17 00:57:59.929310 UTC,0.275,0.275,4320900,4192600,1568671807407775859
2019-09-17 00:57:59.933683 UTC,0.27,0.27,4843500,972000,1568671807407775932
2019-09-17 00:57:59.951044 UTC,0.27,0.27,4843600,972000,1568671807407775933
2019-09-17 00:57:59.954797 UTC,0.27,0.27,4844400,972000,1568671807407775937
2019-09-17 00:57:59.955425 UTC,0.27,0.27,4964600,972000,1568671807407775938
2019-09-17 00:58:00.059708 UTC,0.27,0.27,4994600,972000,1568671807407775945
2019-09-17 00:58:00.139571 UTC,0.27,0.27,4994600,978000,1568671807407775946
2019-09-17 00:58:00.161842 UTC,0.27,0.27,5134600,978000,1568671807407775947
2019-09-17 00:58:00.351763 UTC,0.27,0.27,5134600,972000,1568671807407775948
2019-09-17 00:58:04.296928 UTC,0.27,0.27,5134600,988200,1568671807407775953
2019-09-17 00:58:13.525511 UTC,0.27,0.27,5104600,988200,1568671807407775955
2019-09-17 00:58:13.528940 UTC,0.27,0.27,5119600,988200,1568671807407775956
2019-09-17 00:58:13.531204 UTC,0.27,0.27,5104600,988200,1568671807407775957
2019-09-17 00:58:13.533609 UTC,0.27,0.27,5112100,988200,1568671807407775958
2019-09-17 00:58:13.536054 UTC,0.27,0.27,5104600,988200,1568671807407775959
2019-09-17 00:58:13.539079 UTC,0.27,0.27,5108400,988200,1568671807407775960
2019-09-17 00:58:13.540975 UTC,0.27,0.27,5104600,988200,1568671807407775961
2019-09-17 00:58:13.543489 UTC,0.27,0.27,5106500,988200,1568671807407775962
2019-09-17 00:58:13.546171 UTC,0.27,0.27,5104600,988200,1568671807407775963
2019-09-17 00:58:13.549537 UTC,0.27,0.27,5105600,988200,1568671807407775964
2019-09-17 00:58:13.551888 UTC,0.27,0.27,5104600,988200,1568671807407775965
2019-09-17 00:58:13.553549 UTC,0.27,0.27,5105100,988200,1568671807407775966
2019-09-17 00:58:13.556274 UTC,0.27,0.27,5104600,988200,1568671807407775967
2019-09-17 00:58:13.557883 UTC,0.27,0.27,4984400,988200,1568671807407775968
2019-09-17 00:58:13.562202 UTC,0.27,0.27,4984700,988200,1568671807407775969
2019-09-17 00:58:13.562267 UTC,0.27,0.27,4984400,988200,1568671807407775970
2019-09-17 00:58:13.564604 UTC,0.27,0.27,4984600,988200,1568671807407775971
2019-09-17 00:58:13.567121 UTC,0.27,0.27,4984400,988200,1568671807407775972
2019-09-17 00:58:13.569768 UTC,0.27,0.27,4984500,988200,1568671807407775973
2019-09-17 00:58:13.573043 UTC,0.27,0.27,4984400,988200,1568671807407775974
2019-09-17 00:58:16.038126 UTC,0.27,0.27,4984400,989100,1568671807407775976
2019-09-17 00:58:17.142113 UTC,0.27,0.27,4984400,996700,1568671807407775979
2019-09-17 00:58:17.291035 UTC,0.27,0.27,4984400,896700,1568671807407775980
2019-09-17 00:58:26.588381 UTC,0.27,0.275,3981300,4328900,1568671807407776088
2019-09-17 01:00:00.265799 UTC,0.27,0.275,3981300,4419100,1568671807407776127
2019-09-17 01:00:00.270195 UTC,0.27,0.275,3981300,4298900,1568671807407776128
2019-09-17 01:00:00.283773 UTC,0.27,0.275,3981300,4358900,1568671807407776131
2019-09-17 01:00:00.284125 UTC,0.27,0.275,4181300,4358900,1568671807407776132
2019-09-17 01:00:00.284311 UTC,0.27,0.275,4181300,4558900,1568671807407776134
2019-09-17 01:00:00.293715 UTC,0.27,0.275,4182300,4558900,1568671807407776137
2019-09-17 01:00:00.294529 UTC,0.27,0.275,4182300,4563900,1568671807407776138
2019-09-17 01:00:00.296379 UTC,0.27,0.275,4182300,4579600,1568671807407776139
2019-09-17 01:00:00.298625 UTC,0.27,0.275,4185000,4579600,1568671807407776140
2019-09-17 01:00:00.305725 UTC,0.27,0.275,4202600,4579600,1568671807407776141
2019-09-17 01:00:00.362443 UTC,0.27,0.275,4202600,4602200,1568671807407776142
2019-09-17 01:00:00.380136 UTC,0.27,0.275,4202600,4638400,1568671807407776143
2019-09-17 01:00:00.405307 UTC,0.27,0.275,4183100,4638400,1568671807407776144
2019-09-17 01:00:00.424573 UTC,0.27,0.275,4183100,4645800,1568671807407776145
2019-09-17 01:00:00.429581 UTC,0.27,0.275,4163600,4645800,1568671807407776146
2019-09-17 01:00:00.529823 UTC,0.27,0.275,4164200,4645800,1568671807407776149
2019-09-17 01:00:00.830398 UTC,0.27,0.275,4209100,4645800,1568671807407776150
2019-09-17 01:00:01.914843 UTC,0.27,0.275,4179100,4645800,1568671807407776155
2019-09-17 01:00:05.155764 UTC,0.27,0.275,4179100,4721100,1568671807407776158
2019-09-17 01:00:09.457745 UTC,0.27,0.275,4179100,4725200,1568671807407776159
2019-09-17 01:00:13.261793 UTC,0.27,0.275,4179100,4625200,1568671807407776160
2019-09-17 01:00:25.778665 UTC,0.27,0.275,4179600,4625200,1568671807407776168
2019-09-17 01:00:34.951088 UTC,0.27,0.275,4179800,4625200,1568671807407776169
2019-09-17 01:00:41.277875 UTC,0.27,0.275,4179800,4625100,1568671807407776171
2019-09-17 01:01:00.122512 UTC,0.27,0.275,4180000,4625100,1568671807407776176
2019-09-17 01:01:00.130025 UTC,0.27,0.275,4184900,4625100,1568671807407776177
2019-09-17 01:01:03.056588 UTC,0.27,0.275,4184900,5229000,1568671807407776178
2019-09-17 01:01:06.838968 UTC,0.27,0.275,4184900,5232000,1568671807407776182
2019-09-17 01:01:11.194334 UTC,0.27,0.275,4204900,5232000,1568671807407776183
2019-09-17 01:01:21.278042 UTC,0.27,0.275,4204900,5231900,1568671807407776184
2019-09-17 01:01:41.277867 UTC,0.27,0.275,4204900,5231800,1568671807407776185
2019-09-17 01:01:56.509867 UTC,0.27,0.275,4204400,5231800,1568671807407776186
2019-09-17 01:02:00.128935 UTC,0.27,0.275,4209300,5231800,1568671807407776187
2019-09-17 01:02:00.729638 UTC,0.27,0.275,4209400,5231800,1568671807407776188
2019-09-17 01:02:08.364553 UTC,0.27,0.275,4159400,5231800,1568671807407776189
2019-09-17 01:02:10.217838 UTC,0.27,0.275,4159400,5166300,1568671807407776191
2019-09-17 01:02:12.330046 UTC,0.27,0.275,4159400,5177400,1568671807407776192
2019-09-17 01:02:14.951086 UTC,0.27,0.275,4159600,5177400,1568671807407776198
2019-09-17 01:02:17.333449 UTC,0.27,0.275,4059600,5177400,1568671807407776199
2019-09-17 01:02:20.108773 UTC,0.27,0.275,4059800,5177400,1568671807407776201
2019-09-17 01:03:00.131758 UTC,0.27,0.275,4064700,5177400,1568671807407776203
2019-09-17 01:03:06.230524 UTC,0.27,0.275,4064700,5477500,1568671807407776204
2019-09-17 01:03:20.101993 UTC,0.27,0.275,4064900,5477500,1568671807407776205
2019-09-17 01:03:32.706154 UTC,0.27,0.275,4064800,5477500,1568671807407776207
2019-09-17 01:03:36.037964 UTC,0.27,0.275,4065100,5477500,1568671807407776208
2019-09-17 01:03:58.329388 UTC,0.27,0.275,4065100,5482700,1568671807407776210
2019-09-17 01:04:00.130987 UTC,0.27,0.275,4070000,5482700,1568671807407776211
2019-09-17 01:04:00.573297 UTC,0.27,0.275,4053800,5482700,1568671807407776212
2019-09-17 01:04:07.838456 UTC,0.27,0.275,4053800,5485200,1568671807407776214
2019-09-17 01:04:20.105966 UTC,0.27,0.275,4054000,5485200,1568671807407776215
2019-09-17 01:04:43.108809 UTC,0.27,0.275,4074000,5485200,1568671807407776216
2019-09-17 01:05:00.007816 UTC,0.27,0.275,4076600,5485200,1568671807407776217
2019-09-17 01:05:00.014878 UTC,0.27,0.275,4076600,5480600,1568671807407776218
2019-09-17 01:05:15.951369 UTC,0.27,0.275,4076700,5480600,1568671807407776224
2019-09-17 01:05:21.212457 UTC,0.27,0.275,4077100,5480600,1568671807407776225
2019-09-17 01:05:26.754604 UTC,0.27,0.275,4077100,5517400,1568671807407776226
2019-09-17 01:05:50.774319 UTC,0.27,0.275,4077100,5517200,1568671807407776228
2019-09-17 01:05:55.501870 UTC,0.27,0.275,4027700,5517200,1568671807407776230
2019-09-17 01:05:56.055993 UTC,0.27,0.275,4027700,5512900,1568671807407776232
2019-09-17 01:05:56.059555 UTC,0.27,0.275,4023400,5512900,1568671807407776233
2019-09-17 01:05:57.056436 UTC,0.27,0.275,4023400,5509200,1568671807407776235
2019-09-17 01:05:57.060045 UTC,0.27,0.275,4019700,5509200,1568671807407776236
2019-09-17 01:06:20.606829 UTC,0.27,0.275,4024200,5509200,1568671807407776238
2019-09-17 01:06:33.286907 UTC,0.27,0.275,4023900,5509200,1568671807407776239
2019-09-17 01:06:39.584244 UTC,0.27,0.275,4023900,5516400,1568671807407776240
2019-09-17 01:06:46.454171 UTC,0.27,0.275,4023900,5512000,1568671807407776241
2019-09-17 01:06:54.493759 UTC,0.27,0.275,4002200,5512000,1568671807407776243
2019-09-17 01:06:55.056934 UTC,0.27,0.275,4002200,5508400,1568671807407776245
2019-09-17 01:06:55.061495 UTC,0.27,0.275,3998600,5508400,1568671807407776246
2019-09-17 01:06:56.817572 UTC,0.27,0.275,3984800,5508400,1568671807407776248
2019-09-17 01:07:08.838374 UTC,0.27,0.275,3984800,5510800,1568671807407776250
2019-09-17 01:07:10.776566 UTC,0.27,0.275,3985000,5510800,1568671807407776251
2019-09-17 01:07:46.473898 UTC,0.27,0.275,3885000,5510800,1568671807407776254
2019-09-17 01:07:51.497742 UTC,0.27,0.275,3853600,5510800,1568671807407776255
2019-09-17 01:07:54.056668 UTC,0.27,0.275,3853600,5507600,1568671807407776257
2019-09-17 01:07:54.061109 UTC,0.27,0.275,3850400,5507600,1568671807407776258
2019-09-17 01:08:16.951014 UTC,0.27,0.275,3850600,5507600,1568671807407776261
2019-09-17 01:08:50.555589 UTC,0.27,0.275,3844600,5507600,1568671807407776262
2019-09-17 01:08:51.830107 UTC,0.27,0.275,3844700,5507600,1568671807407776265
2019-09-17 01:08:55.057204 UTC,0.27,0.275,3844700,5504500,1568671807407776266
2019-09-17 01:08:55.061363 UTC,0.27,0.275,3841600,5504500,1568671807407776267
2019-09-17 01:08:57.519059 UTC,0.27,0.275,3841600,5512700,1568671807407776270
2019-09-17 01:09:17.056867 UTC,0.27,0.275,3841600,4930000,1568671807407776272
2019-09-17 01:09:42.837214 UTC,0.27,0.275,3841800,4930000,1568671807407776274
2019-09-17 01:09:52.333868 UTC,0.27,0.275,3841800,4925500,1568671807407776276
2019-09-17 01:09:54.058036 UTC,0.27,0.275,3838700,4925500,1568671807407776278
2019-09-17 01:09:54.058221 UTC,0.27,0.275,3838700,4922400,1568671807407776279
2019-09-17 01:10:09.838233 UTC,0.27,0.275,3838700,4924000,1568671807407776281
2019-09-17 01:10:18.057453 UTC,0.27,0.275,3838700,5506700,1568671807407776282
2019-09-17 01:10:25.571622 UTC,0.27,0.275,3838700,5532200,1568671807407776283
2019-09-17 01:10:25.719791 UTC,0.27,0.275,3838700,5532000,1568671807407776284
2019-09-17 01:10:26.222557 UTC,0.27,0.275,3838900,5532000,1568671807407776286
2019-09-17 01:10:32.088977 UTC,0.27,0.275,3838800,5532000,1568671807407776287
2019-09-17 01:10:52.561533 UTC,0.27,0.275,3838300,5532000,1568671807407776288
2019-09-17 01:11:07.282320 UTC,0.27,0.275,3838300,5564700,1568671807407776290
2019-09-17 01:11:07.653783 UTC,0.27,0.275,3841900,5564700,1568671807407776291
2019-09-17 01:11:13.305517 UTC,0.27,0.275,3842000,5564700,1568671807407776292
2019-09-17 01:11:17.950679 UTC,0.27,0.275,3842100,5564700,1568671807407776294
